Equipment Name,Equipment ID,Criticality level,Task Id,Task Description,Start date,End Date,Duration,Maintenance cost
Heat Exchanger,EQP-1054,High,TASK-29155,Filter change,2024-12-04,2024-12-08,4,4565.01
Production Tubing,EQP-1039,Medium,TASK-63961,Routine inspection,2024-09-10,2024-09-14,4,9551.42
Heat Exchanger,EQP-1031,Medium,TASK-90711,Overhaul,2025-01-26,2025-01-28,2,7293.62
Drill Bit,EQP-1063,High,TASK-23223,Filter change,2024-01-15,2024-01-16,1,3756.82
Oil Pump,EQP-1041,High,TASK-26858,Routine inspection,2024-01-29,2024-01-30,1,9474.42
Production Tubing,EQP-1017,High,TASK-82076,Routine inspection,2023-05-21,2023-05-26,5,9424.86
Storage Tank,EQP-1022,High,TASK-40908,Sensor replacement,2024-04-14,2024-04-22,8,3570.84
Coiled Tubing Unit,EQP-1003,High,TASK-61687,Routine inspection,2023-01-31,2023-02-01,1,6231.49
Separator,EQP-1058,Low,TASK-66159,Sensor replacement,2024-06-22,2024-07-01,9,6459.22
Separator,EQP-1021,Medium,TASK-72237,Sensor replacement,2024-08-29,2024-09-05,7,2368.76
Mud Motor,EQP-1027,High,TASK-15501,Seal replacement,2024-06-08,2024-06-09,1,1546.01
Gas Lift Valve,EQP-1011,High,TASK-60954,Routine inspection,2025-03-06,2025-03-14,8,9040.62
Drill Bit,EQP-1049,High,TASK-86653,Filter change,2023-09-12,2023-09-17,5,5260.55
Blowout Preventer,EQP-1079,Medium,TASK-12836,Pressure test,2024-02-13,2024-02-21,8,4236.7
Separator,EQP-1038,Low,TASK-90377,Valve check,2024-11-29,2024-12-07,8,4728.52
Choke Valve,EQP-1044,Low,TASK-74362,Pressure test,2023-12-10,2023-12-14,4,5453.95
Oil Pump,EQP-1019,Low,TASK-42455,Leak test,2024-06-26,2024-07-03,7,918.22
Production Tubing,EQP-1054,Low,TASK-71423,Leak test,2024-03-30,2024-04-01,2,6790.72
Blowout Preventer,EQP-1099,Low,TASK-15865,Routine inspection,2024-09-25,2024-09-26,1,2575.43
Casing Pipe,EQP-1068,Medium,TASK-31141,Routine inspection,2024-05-13,2024-05-14,1,5867.59
Heat Exchanger,EQP-1053,High,TASK-45181,Sensor replacement,2024-02-11,2024-02-18,7,703.69
Storage Tank,EQP-1043,High,TASK-66714,Lubrication,2023-03-06,2023-03-10,4,6611.8
Casing Pipe,EQP-1063,High,TASK-11205,Calibration,2024-12-18,2024-12-19,1,6115.81
Heat Exchanger,EQP-1023,Low,TASK-31794,Seal replacement,2023-04-26,2023-04-29,3,7790.32
Blowout Preventer,EQP-1054,High,TASK-31918,Valve check,2024-10-27,2024-11-06,10,6243.79
Separator,EQP-1009,Medium,TASK-80870,Calibration,2023-02-23,2023-03-04,9,2798.64
Gas Lift Valve,EQP-1045,Medium,TASK-63776,Leak test,2024-09-01,2024-09-04,3,4014.67
Coiled Tubing Unit,EQP-1003,Medium,TASK-40501,Calibration,2023-05-29,2023-06-04,6,6227.96
Casing Pipe,EQP-1044,Medium,TASK-69350,Overhaul,2024-04-22,2024-04-25,3,8315.58
Gas Lift Valve,EQP-1066,Medium,TASK-74306,Overhaul,2025-02-10,2025-02-18,8,6789.8
Compressor,EQP-1010,High,TASK-78420,Leak test,2024-04-27,2024-05-04,7,8278.02
Storage Tank,EQP-1078,Medium,TASK-92219,Overhaul,2025-02-13,2025-02-20,7,6307.06
Oil Pump,EQP-1019,High,TASK-63997,Overhaul,2023-11-07,2023-11-14,7,1451.67
Casing Pipe,EQP-1094,Medium,TASK-46451,Leak test,2023-01-02,2023-01-11,9,1012.18
Choke Valve,EQP-1035,Medium,TASK-28960,Pressure test,2023-10-09,2023-10-10,1,1099.18
Drill Bit,EQP-1086,Medium,TASK-81154,Routine inspection,2024-08-30,2024-09-07,8,7902.45
Production Tubing,EQP-1039,Medium,TASK-22616,Pressure test,2024-09-08,2024-09-10,2,1517.61
Production Tubing,EQP-1073,Low,TASK-38696,Seal replacement,2025-03-01,2025-03-10,9,1077.04
Gas Lift Valve,EQP-1050,Medium,TASK-15005,Leak test,2024-01-04,2024-01-09,5,2809.42
Compressor,EQP-1037,High,TASK-29871,Valve check,2023-08-29,2023-09-06,8,6473.84
Heat Exchanger,EQP-1038,Low,TASK-70373,Calibration,2023-02-19,2023-03-01,10,2168.3
Casing Pipe,EQP-1045,Medium,TASK-97260,Pressure test,2024-12-31,2025-01-03,3,7411.98
Drill Bit,EQP-1092,Medium,TASK-81805,Valve check,2024-04-23,2024-04-26,3,3255.78
Choke Valve,EQP-1072,Low,TASK-88260,Lubrication,2024-02-02,2024-02-06,4,7419.0
Production Tubing,EQP-1054,High,TASK-21388,Seal replacement,2024-02-08,2024-02-13,5,5657.54
Storage Tank,EQP-1075,Low,TASK-58150,Routine inspection,2023-01-18,2023-01-19,1,3679.06
Heat Exchanger,EQP-1015,High,TASK-83040,Lubrication,2023-10-27,2023-11-01,5,5372.96
Compressor,EQP-1083,High,TASK-60402,Pressure test,2024-08-04,2024-08-07,3,8498.6
Production Tubing,EQP-1092,Medium,TASK-63169,Calibration,2023-01-18,2023-01-22,4,822.22
Mud Motor,EQP-1092,Medium,TASK-86385,Valve check,2025-01-12,2025-01-22,10,8628.06
Blowout Preventer,EQP-1056,Medium,TASK-75011,Lubrication,2024-09-29,2024-10-07,8,3955.27
Oil Pump,EQP-1016,Low,TASK-12706,Filter change,2024-05-20,2024-05-28,8,1122.63
Desander,EQP-1088,Medium,TASK-16651,Lubrication,2024-09-10,2024-09-12,2,7912.35
Gas Lift Valve,EQP-1041,Low,TASK-87023,Leak test,2024-04-25,2024-04-28,3,8109.89
Coiled Tubing Unit,EQP-1084,Low,TASK-51905,Valve check,2023-02-13,2023-02-20,7,4342.84
Compressor,EQP-1041,Low,TASK-82405,Calibration,2024-10-14,2024-10-21,7,4393.84
Blowout Preventer,EQP-1075,High,TASK-83726,Routine inspection,2024-08-23,2024-08-29,6,7555.52
Separator,EQP-1000,Medium,TASK-41701,Valve check,2024-12-22,2025-01-01,10,7019.37
Blowout Preventer,EQP-1079,High,TASK-64818,Pressure test,2023-04-16,2023-04-20,4,1566.98
Wellhead,EQP-1060,High,TASK-88201,Pressure test,2024-01-09,2024-01-10,1,8161.03
Blowout Preventer,EQP-1074,Medium,TASK-90354,Pressure test,2023-03-14,2023-03-20,6,4443.99
Blowout Preventer,EQP-1036,Medium,TASK-78638,Sensor replacement,2023-10-24,2023-10-30,6,1252.92
Casing Pipe,EQP-1029,Low,TASK-80156,Sensor replacement,2024-05-13,2024-05-18,5,6987.75
Gas Lift Valve,EQP-1096,High,TASK-51245,Pressure test,2024-01-25,2024-02-03,9,2405.26
Production Tubing,EQP-1054,Low,TASK-77791,Seal replacement,2024-05-21,2024-05-30,9,9693.53
Storage Tank,EQP-1020,Medium,TASK-94586,Lubrication,2024-09-06,2024-09-07,1,9285.47
Gas Lift Valve,EQP-1058,Medium,TASK-68533,Sensor replacement,2023-05-02,2023-05-07,5,6069.88
Coiled Tubing Unit,EQP-1060,High,TASK-57056,Filter change,2023-10-09,2023-10-13,4,1057.39
Oil Pump,EQP-1015,Medium,TASK-99275,Leak test,2024-05-13,2024-05-19,6,7121.51
Oil Pump,EQP-1006,Medium,TASK-30786,Lubrication,2024-11-01,2024-11-07,6,7586.27
Compressor,EQP-1018,Low,TASK-27609,Valve check,2023-10-26,2023-11-03,8,3887.92
Casing Pipe,EQP-1012,Medium,TASK-51751,Lubrication,2023-08-31,2023-09-05,5,3702.4
Desander,EQP-1017,High,TASK-55886,Calibration,2023-09-28,2023-10-08,10,2225.79
Storage Tank,EQP-1095,Low,TASK-74953,Filter change,2023-09-23,2023-09-25,2,6703.73
Compressor,EQP-1063,Medium,TASK-39564,Routine inspection,2024-09-20,2024-09-22,2,1729.76
Mud Motor,EQP-1068,Low,TASK-79499,Pressure test,2024-10-07,2024-10-10,3,4779.44
Coiled Tubing Unit,EQP-1027,High,TASK-28444,Pressure test,2024-03-25,2024-04-01,7,3980.19
Compressor,EQP-1080,Low,TASK-54077,Valve check,2023-09-10,2023-09-19,9,5156.01
Casing Pipe,EQP-1087,Low,TASK-58193,Lubrication,2024-12-06,2024-12-10,4,6873.34
Compressor,EQP-1031,Medium,TASK-22814,Pressure test,2025-02-22,2025-02-24,2,3181.24
Separator,EQP-1081,High,TASK-74402,Filter change,2024-01-21,2024-01-31,10,8353.76
Choke Valve,EQP-1041,High,TASK-79126,Leak test,2024-10-01,2024-10-07,6,1082.79
Desander,EQP-1028,Low,TASK-38723,Pressure test,2024-10-30,2024-11-08,9,1528.34
Blowout Preventer,EQP-1062,Low,TASK-71125,Valve check,2024-05-21,2024-05-24,3,6234.92
Desander,EQP-1016,Low,TASK-46516,Routine inspection,2024-10-26,2024-10-27,1,9347.66
Coiled Tubing Unit,EQP-1011,Low,TASK-97155,Filter change,2024-10-16,2024-10-22,6,3047.47
Production Tubing,EQP-1022,Low,TASK-73637,Overhaul,2023-09-10,2023-09-17,7,7443.87
Casing Pipe,EQP-1089,Medium,TASK-67700,Seal replacement,2024-12-11,2024-12-18,7,9939.5
Drill Bit,EQP-1078,Medium,TASK-55760,Overhaul,2023-07-15,2023-07-17,2,1788.39
Coiled Tubing Unit,EQP-1088,Medium,TASK-73937,Sensor replacement,2023-05-28,2023-06-04,7,9576.0
Drill Bit,EQP-1062,Low,TASK-64389,Sensor replacement,2023-01-08,2023-01-10,2,2872.45
Heat Exchanger,EQP-1037,Low,TASK-58420,Overhaul,2023-12-02,2023-12-05,3,3397.47
Gas Lift Valve,EQP-1076,Low,TASK-38953,Pressure test,2023-04-19,2023-04-20,1,3131.78
Casing Pipe,EQP-1059,Medium,TASK-79616,Valve check,2024-10-05,2024-10-06,1,3468.48
Oil Pump,EQP-1068,Low,TASK-55279,Overhaul,2024-08-26,2024-08-29,3,4037.6
Production Tubing,EQP-1007,High,TASK-91752,Routine inspection,2023-05-22,2023-05-25,3,2225.75
Blowout Preventer,EQP-1000,Low,TASK-10728,Calibration,2024-12-04,2024-12-08,4,6288.99
Mud Motor,EQP-1071,Medium,TASK-77816,Routine inspection,2025-02-15,2025-02-17,2,9205.15
Oil Pump,EQP-1062,Medium,TASK-83727,Routine inspection,2023-05-07,2023-05-10,3,7766.0
Heat Exchanger,EQP-1093,Low,TASK-22665,Pressure test,2023-07-12,2023-07-14,2,5764.8
Mud Motor,EQP-1005,Medium,TASK-32904,Routine inspection,2023-03-26,2023-03-29,3,6500.84
Gas Lift Valve,EQP-1017,High,TASK-87722,Leak test,2024-08-30,2024-09-06,7,9202.66
Coiled Tubing Unit,EQP-1070,High,TASK-77366,Lubrication,2024-02-22,2024-02-27,5,4958.06
Oil Pump,EQP-1012,High,TASK-10124,Valve check,2023-02-11,2023-02-16,5,5982.26
Production Tubing,EQP-1098,Low,TASK-60637,Valve check,2023-09-17,2023-09-26,9,2607.71
Oil Pump,EQP-1037,Medium,TASK-21457,Valve check,2023-11-17,2023-11-27,10,3322.39
Oil Pump,EQP-1062,Medium,TASK-75713,Overhaul,2023-05-10,2023-05-19,9,8671.27
Desander,EQP-1089,Medium,TASK-51885,Filter change,2023-02-05,2023-02-14,9,8868.05
Storage Tank,EQP-1059,Medium,TASK-74168,Lubrication,2023-06-17,2023-06-21,4,4779.0
Casing Pipe,EQP-1044,Medium,TASK-47250,Leak test,2023-11-22,2023-12-01,9,9445.17
Blowout Preventer,EQP-1011,High,TASK-70036,Sensor replacement,2023-05-27,2023-06-01,5,2606.92
Blowout Preventer,EQP-1008,Low,TASK-49120,Valve check,2024-03-15,2024-03-22,7,5512.59
Blowout Preventer,EQP-1025,Low,TASK-90121,Routine inspection,2023-05-19,2023-05-27,8,3379.76
Compressor,EQP-1052,Low,TASK-98662,Filter change,2025-01-27,2025-02-02,6,4187.09
Heat Exchanger,EQP-1096,High,TASK-35340,Seal replacement,2024-05-11,2024-05-12,1,1957.7
Drill Bit,EQP-1045,Medium,TASK-67173,Leak test,2025-01-12,2025-01-17,5,7067.33
Separator,EQP-1064,Medium,TASK-20118,Seal replacement,2024-08-17,2024-08-22,5,774.85
Drill Bit,EQP-1069,High,TASK-44365,Calibration,2024-08-04,2024-08-08,4,765.12
Compressor,EQP-1002,Medium,TASK-96419,Lubrication,2025-03-05,2025-03-13,8,6685.53
Wellhead,EQP-1012,Low,TASK-84587,Sensor replacement,2024-01-12,2024-01-19,7,2644.29
Wellhead,EQP-1025,Medium,TASK-36869,Pressure test,2023-09-02,2023-09-06,4,5901.4
Separator,EQP-1021,High,TASK-75663,Leak test,2023-04-04,2023-04-14,10,9513.01
Mud Motor,EQP-1085,Medium,TASK-13071,Filter change,2023-03-02,2023-03-04,2,810.14
Oil Pump,EQP-1006,High,TASK-41738,Filter change,2023-01-10,2023-01-11,1,7923.82
Mud Motor,EQP-1046,High,TASK-38348,Valve check,2025-01-26,2025-02-03,8,9852.13
Production Tubing,EQP-1057,High,TASK-88104,Valve check,2023-05-30,2023-06-01,2,6421.57
Oil Pump,EQP-1080,High,TASK-60422,Calibration,2024-08-04,2024-08-06,2,9083.7
Wellhead,EQP-1062,Medium,TASK-67542,Valve check,2023-06-09,2023-06-18,9,2281.05
Blowout Preventer,EQP-1016,Medium,TASK-75824,Valve check,2025-01-20,2025-01-26,6,4412.95
Gas Lift Valve,EQP-1058,High,TASK-98017,Overhaul,2023-07-11,2023-07-13,2,3254.77
Gas Lift Valve,EQP-1014,Medium,TASK-92058,Calibration,2023-01-04,2023-01-07,3,7691.22
Mud Motor,EQP-1068,Medium,TASK-31293,Calibration,2023-08-06,2023-08-07,1,2339.32
Heat Exchanger,EQP-1052,Medium,TASK-29849,Seal replacement,2023-05-18,2023-05-23,5,6991.37
Heat Exchanger,EQP-1061,Low,TASK-70469,Calibration,2023-07-06,2023-07-08,2,2922.91
Production Tubing,EQP-1037,Medium,TASK-17075,Filter change,2023-04-03,2023-04-08,5,9340.6
Drill Bit,EQP-1062,Low,TASK-68826,Leak test,2024-08-11,2024-08-20,9,9230.34
Coiled Tubing Unit,EQP-1038,Medium,TASK-91760,Routine inspection,2023-07-02,2023-07-10,8,4829.34
Separator,EQP-1090,High,TASK-82986,Pressure test,2024-05-08,2024-05-14,6,5108.25
Wellhead,EQP-1077,High,TASK-72899,Leak test,2023-09-17,2023-09-21,4,1746.08
Mud Motor,EQP-1079,Low,TASK-14462,Leak test,2023-07-05,2023-07-11,6,1151.09
Choke Valve,EQP-1082,Medium,TASK-95338,Pressure test,2023-02-19,2023-02-24,5,4187.07
Heat Exchanger,EQP-1003,High,TASK-92338,Leak test,2023-11-09,2023-11-14,5,4029.52
Drill Bit,EQP-1083,High,TASK-29997,Calibration,2023-03-20,2023-03-23,3,5371.83
Drill Bit,EQP-1013,Medium,TASK-61992,Seal replacement,2024-07-29,2024-08-06,8,5286.23
Gas Lift Valve,EQP-1035,High,TASK-63426,Seal replacement,2023-10-25,2023-11-02,8,9399.96
Mud Motor,EQP-1032,Medium,TASK-29451,Leak test,2024-10-21,2024-10-30,9,5936.06
Blowout Preventer,EQP-1054,Low,TASK-25037,Routine inspection,2024-10-09,2024-10-17,8,7687.04
Gas Lift Valve,EQP-1001,Low,TASK-96842,Seal replacement,2025-01-26,2025-01-27,1,8312.53
Compressor,EQP-1011,Low,TASK-87434,Filter change,2023-05-30,2023-06-03,4,9948.83
Casing Pipe,EQP-1010,High,TASK-69553,Routine inspection,2024-11-22,2024-11-25,3,3702.68
Drill Bit,EQP-1067,High,TASK-76030,Seal replacement,2024-08-01,2024-08-03,2,1621.96
Choke Valve,EQP-1035,Low,TASK-79559,Valve check,2025-02-08,2025-02-15,7,3431.1
Blowout Preventer,EQP-1094,Low,TASK-28761,Leak test,2024-05-20,2024-05-29,9,3161.59
Coiled Tubing Unit,EQP-1042,Low,TASK-75360,Seal replacement,2024-10-23,2024-10-29,6,6282.96
Oil Pump,EQP-1048,Low,TASK-49717,Routine inspection,2023-10-15,2023-10-24,9,6407.33
Choke Valve,EQP-1083,High,TASK-93473,Valve check,2023-08-16,2023-08-20,4,3167.02
Coiled Tubing Unit,EQP-1039,High,TASK-91873,Leak test,2024-12-24,2024-12-27,3,6263.55
Blowout Preventer,EQP-1043,Low,TASK-41843,Routine inspection,2024-01-28,2024-02-01,4,1112.89
Oil Pump,EQP-1088,Low,TASK-92124,Pressure test,2024-09-21,2024-09-24,3,1923.25
Gas Lift Valve,EQP-1035,Low,TASK-25751,Leak test,2024-03-15,2024-03-22,7,9591.06
Compressor,EQP-1087,Low,TASK-75227,Overhaul,2024-10-12,2024-10-16,4,5516.06
